MC2_NAME,MC3_NAME,CHW_PRIMARY_SUPPLIER_NAME,PRODUCT,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_SKU_NUMBER,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM
"Leashes, Collars & Harnesses",Collars,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Comfort Padded Dog Collar,PCA000064,"Frisco Comfort Padded Dog Collar, Jet Black, Large",500,1000017718,0,50,0.010166
"Leashes, Collars & Harnesses",Harnesses,"-CA: COASTAL PET PRODUCTS, INC. - PP (35)",Frisco Small Breed Soft Vest Step In Back Clip Dog Harness,,"Frisco Small Breed Soft Vest Step In Back Clip Dog Harness, Pink, 21 to 23-in chest",36,1000098161,0,36,0.02958364854925714
Containment & Gear,Containment,BCA000164-PMandJ LLC - Vietnam CA,Frisco Heavy Duty Fold & Carry Double Door Collapsible Wire Dog Crate & Mat Kit,BCA000164,"Frisco Heavy Duty Fold & Carry Double Door Collapsible Wire Dog Crate & Mat Kit, Large",250,1000015046,0,1,0.09360320820585435
Personalized,Personalized Pet Products,P20163-GOTAGS.COM LLC - PL V2C,Frisco Personalized Boulder Plaid Insulated Dog & Cat Puffer Coat,P20163,"Frisco Personalized Boulder Plaid Insulated Dog & Cat Puffer Coat, Pink, Medium",1,541974,0,1,0.000016387064
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Striped Santa Dog & Cat Christmas Sweater,PCA3755,"Frisco Striped Santa Dog & Cat Christmas Sweater, X-Small",1500,1000066049,0,50,0.023275
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Conversation Candy Heart Dog & Cat Sweater,P000421,"Frisco Conversation Candy Heart Dog & Cat Sweater, X-Large",1500,1775806,0,50,0.11904
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Conversation Candy Heart Dog & Cat Sweater,P000421,"Frisco Conversation Candy Heart Dog & Cat Sweater, XX-Large",1500,1775814,0,50,0.13888
Personalized & Gifting,Human Apparel,PCA000421-CA: PETTINGZOO SHANGHAI LIMITED,Frisco Mediumweight Reversible Two-Tone Fleece & Sherpa Dog & Cat Vest,PCA000421,"Frisco Mediumweight Reversible Two-Tone Fleece & Sherpa Dog & Cat Vest, Teal, XX-Large",2500,1000096391,0,25,0.130634
Toys,Fetch Toys,P25855-TECHLINK PETS INTERNATIONAL LIMITED,Frisco Fetch Lightweight Floating Glow in the Dark Fabric Quad Flyer Dog Toy,P25855,"Frisco Fetch Lightweight Floating Glow in the Dark Fabric Quad Flyer Dog Toy, Medium/Large",1000,1376766,0,40,0.049025
Apparel,Apparel,B000400-Pureland Outdoor HK Ltd,Frisco Shark Dog Life Jacket,B000400,"Frisco Shark Dog Life Jacket, Ocean Blue, X-Small",3000,1811182,0,24,0.05775
Beds & Furniture,Beds,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Farmhouse Rectangular Bolster Pillow Dog Bed with Removable Cover,PCA000064,"Frisco Farmhouse Rectangular Bolster Pillow Dog Bed with Removable Cover, XX-Large",250,1000069319,0,4,0.523392
Toys,Plush Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,Frisco Holiday Friendly Yetis Plush Squeaky Dog Toy,PCA20837,"Frisco Holiday Friendly Yetis Plush Squeaky Dog Toy, Medium/Large, 3 count",1200,1000097645,0,12,0.086944
Containment & Gear,Containment,PCA18120-CA: NINGBO KONY METAL PRODUCTS CO LTD,"Frisco Steel 3-Panel Configurable Gate, 41-in Height",PCA18120,"Frisco Steel 3-Panel Configurable Gate, 41-in Height, Gray",100,1000069583,0,1,0.105479
Toys,Fetch Toys,B27093-SPORTPET DESIGNS LLC,Frisco Fetch Glow in the Dark TPR Lattice Ball Dog Toy,B27093,"Frisco Fetch Glow in the Dark TPR Lattice Ball Dog Toy, Medium/Large",2508,1376718,0,12,0.02058
Personalized & Gifting,Human Apparel,PCA000421-CA: PETTINGZOO SHANGHAI LIMITED,Frisco Full Zip Dog & Cat Sweater Fleece Hoodie,PCA000421,"Frisco Full Zip Dog & Cat Sweater Fleece Hoodie, Green, X-Small",1500,1000095977,0,50,0.035
Personalized & Gifting,Human Apparel,PCA000421-CA: PETTINGZOO SHANGHAI LIMITED,Frisco Checkered Mock Neck Dog & Cat Sweater,PCA000421,"Frisco Checkered Mock Neck Dog & Cat Sweater, Navy, X-Large",1500,1000097339,0,50,0.07875
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD",Frisco Lightweight Basic Dog & Cat Puffer,PCA18936,"Frisco Lightweight Basic Dog & Cat Puffer, Green, Small",1536,1000096019,0,48,0.028424
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Water Resistant Dog Raincoat,PCA3755,"Frisco Water Resistant Dog Raincoat, Blue, Small",1500,1000087241,0,48,0.018564270665020092
"Leashes, Collars & Harnesses",Collars,P25855-TECHLINK PETS INTERNATIONAL LIMITED,Frisco Nighttime Safety LED Necklace,P25855,"Frisco Nighttime Safety LED Necklace, Large/X-Large",500,1086598,0,48,0.044548
"Leashes, Collars & Harnesses",Harnesses,P21160-HONG KONG FEIYANG TRADING CO LIMITED,Frisco Rugged Day Pack Harness with Reflective Straps,P21160,"Frisco Rugged Day Pack Harness with Reflective Straps, Black, X-Large",312,906982,0,24,0.054908
Toys,Fetch Toys,P27093-SPORTPET DESIGNS LLC,Frisco Fetch Tough Textured Rubber Ball Dog Toy,P27093,"Frisco Fetch Tough Textured Rubber Ball Dog Toy, Large",2520,1376646,0,24,0.012555839999999999
Personalized,Personalized People Products,P20275-PROGIFTSOURCE.COM - V2C,Frisco Personalized Happy Dog Holiday Dog Stocking,P20275,Frisco Personalized Happy Dog Holiday Dog Stocking,120,582574,0,1,0.0021303183200000004
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD",Frisco Ribbed Henley Dog & Cat T-Shirt,PCA18936,"Frisco Ribbed Henley Dog & Cat T-Shirt, Green, XX-Large",1512,1000096487,0,36,0.036
