CHW_SKU_NUMBER	MC2_NAME	MC3_NAME	CHW_PRIMARY_SUPPLIER_NAME	PRODUCT	CHW_PRIMARY_SUPPLIER_NUMBER	SKU_NAME	PURCHASE_MOQ	CHW_UNITS_PER_CARTON	CHW_MASTER_CASE_PACK	CHW_MASTER_CARTON_CBM	DEST	Demand
112088	Beds & Furniture	Beds	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Replacement Cover for Steel-Framed Elevated Dog Bed	B3722	Frisco Replacement Cover for Steel-Framed Elevated Dog Bed, Gray, M:  35.7-in L  x  26.3-in W, 1 count	264	24.0	24.0	0.034398	TNY	102.19241441541821
862902	Litter Accessories	Filters	P21654-SHENZHEN XING RISHENG INDUSTRIAL CO LTD	Frisco Litter Box Charcoal Filters	P21654	Frisco Litter Box Charcoal Filters, 2 count	2304	0.0	48.0	0.019008	TNY	1025.0028025474087
166379	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable, Small	B3722	Frisco Tie Out Cable, Small, 10-ft	200	10.0	10.0	0.003521875	TNY	101.88818217566504
166437	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable	B3722	Frisco Tie Out Cable, 15-ft	200	5.0	5.0	0.004698	TNY	98.20292299658921
166431	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable, Large	B3722	Frisco Tie Out Cable, Large, 30-ft	204	6.0	6.0	0.006137	TNY	216.5006206488388
166388	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable, Medium	B3722	Frisco Tie Out Cable, Medium, 15-ft	200	8.0	8.0	0.004374	TNY	101.1020060608443
309791	Litter Accessories	Mats	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Paw Shaped Cat Litter Mat	B3722	Frisco Paw Shaped Cat Litter Mat, Beige	1520	40.0	40.0	0.09040840000000001	TNY	712.9972482361649
227442	Waste Management	Potty Pads & Diapers	P000486-TIANJIN YIYI HYGIENE PRODUCTS CO. LTD	Frisco X-Large Eco-Conscious Dog Training & Potty Pads	P000486	Frisco X-Large Eco-Conscious Dog Training & Potty Pads, 28 x 34-in, Unscented, 40 count	250	1.0	1.0	0.026218917847873842	TNY	113.87752943814279
166439	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable	B3722	Frisco Tie Out Cable, 30-ft	200	5.0	5.0	0.0084942	TNY	241.9101015259
166464	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Easy Grip Spiral Stake	B3722	Frisco Easy Grip Spiral Stake, 18-in	204	6.0	6.0	0.00891	TNY	113.67413384194163
