parent_product_part_number,product_part_number,product_name,vendor_Code,vendor_name,vendor_purchaser_code,MOQ,MCP,case_pk_CBM,planned_demand,vendor_earliest_ETD,MC1,MC2,BRAND,SKU,PUBBED,OH,T90_DAILY_AVG,F90_DAILY_AVG,AVG_LT,ost_ord,Next_Delivery,T90_DOS_OH,F90_DOS_OH,F90_DOS_OO,T90_BELOW,F90_BELOW,baseConsumption,bufferConsumption,baseDemand,bufferDemand,excess_demand
137160.0,109790,"Frisco Heavy Duty Fold & Carry Double Door Collapsible Wire Dog Crate, Med/Large",B000164,PM&J LLC,JADESCHACK,250.0,1,0.0674170372373978,250.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,109790,True,1.0,5.62,11.39,152.0,0.0,,0.18,0.09,0.0,True,True,2050.2000000000003,2369.12,250.0,2368.12,0.0
213475.0,186824,"Frisco Steel Extra Wide Auto-Close Dog Gate, White, 30-in",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.0483884418538792,100.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,186824,True,2814.0,14.21,17.43,123.0,2224.0,2025-11-19,198.03,161.45,127.6,False,False,2631.93,3119.97,100.0,0.0,100.0
387868.0,361648,"Frisco Steel 3-Panel Configurable Gate, 41-in Height, Black",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.105507141323768,100.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,361648,True,1546.0,5.21,6.55,123.0,197.0,2025-11-19,296.74,236.03,30.08,False,False,989.05,1172.45,100.0,0.0,100.0
277071.0,250602,"Frisco Steel 8-Panel Configurable Dog Gate and Playpen, 30-in, White",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.120526022524586,100.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,250602,True,3666.0,16.09,22.4,123.0,1896.0,2025-12-31,227.84,163.66,84.64,False,False,3382.3999999999996,4009.6,100.0,0.0,100.0
175022.0,148195,"Frisco Replacement Tray for Ultimate Heavy Duty Steel Metal Dog Crate, 34.65 in L x 23.82 in W",P000398,TANGSHAN KANGBEI PET PRODUCTS CO. LTD,JADESCHACK,100.0,1,0.0413878606292902,100.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,148195,True,77.0,0.82,0.97,120.0,200.0,2026-01-14,93.9,79.38,206.19,True,True,143.56,170.72,100.0,0.0,100.0
315978.0,289631,"Frisco Faux Linen Dog Crate Cover, Brown, 42in",B000064,PM&J LLC - DIRECT IMPORT,JADESCHACK,252.0,12,0.05148,276.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,289631,True,1052.0,4.69,5.11,143.0,300.0,2026-01-27,224.31,205.87,58.71,False,False,873.8100000000001,1016.8900000000001,252.0,0.0,276.0
1358006.0,1358014,"Frisco Cat & Dog Collapsible Stairs with Storage and Built-in Bed, Cream, 3-step",B000064,PM&J LLC - DIRECT IMPORT,JADESCHACK,500.0,2,0.09546,588.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,1358014,True,238.0,2.03,3.16,143.0,500.0,2025-12-12,117.24,75.32,158.23,True,True,540.36,628.84,500.0,0.0,588.0
277075.0,250607,"Frisco Steel 3-Panel Configurable Dog Gate, Black, 30-in",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.0795261587725326,366.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,250607,True,104.0,1.84,2.15,123.0,428.0,2025-11-19,56.52,48.37,199.07,True,True,324.65,384.84999999999997,100.0,0.0,366.0
183529.0,156782,"Frisco Deluxe Foldable Wooden Carpeted Cat & Dog Stairs, Brown, X-Large",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,100.0,1,0.146048569427514,510.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,156782,True,0.0,2.59,0.01,127.0,510.0,2026-02-16,0.0,0.0,51000.0,True,True,1.55,1.83,100.0,0.0,510.0
137160.0,109791,"Frisco Heavy Duty Fold & Carry Double Door Collapsible Wire Dog Crate, Large",B000164,PM&J LLC,JADESCHACK,250.0,1,0.0892797343857225,277.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,109791,True,118.0,8.90,11.01,152.0,869.0,2026-01-12,13.26,10.72,78.93,True,True,1981.8,2290.08,277.0,1303.08,0.0
116523.0,88795,"Frisco Fold & Carry Single Door Collapsible Wire Dog Crate, Medium",B000164,PM&J LLC,JADESCHACK,250.0,1,0.0454484734285487,381.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,88795,True,1109.0,16.42,36.64,152.0,1228.0,2026-01-23,67.54,30.27,33.52,True,True,6595.2,7621.12,381.0,5284.12,0.0
183529.0,156781,"Frisco Deluxe Foldable Wooden Carpeted Cat & Dog Stairs, Brown, Large",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,100.0,1,0.0843983498313296,229.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,156781,True,753.0,2.17,3.12,127.0,229.0,2026-02-16,347.0,241.35,73.4,False,False,483.6,570.96,100.0,0.0,229.0
213472.0,186820,"Frisco Steel Extra Tall Auto-Close Dog Gate, Black, 40-in",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.0440154,330.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,186820,True,3694.0,17.97,24.21,123.0,2301.0,2025-12-22,205.56,152.58,95.04,False,False,3655.71,4333.59,100.0,0.0,330.0
137152.0,109782,"Frisco Heavy Duty Fold & Carry Single Door Collapsible Wire Dog Crate, Med/Large",B000164,PM&J LLC,JADESCHACK,250.0,1,0.0674170372373978,257.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,109782,True,126.0,1.11,10.8,152.0,0.0,,113.51,11.67,0.0,True,True,1944.0000000000002,2246.4,257.0,2120.4,0.0
213472.0,186821,"Frisco Steel Extra Tall Auto-Close Dog Gate, White, 40-in",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.0440154,829.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,186821,True,5029.0,26.98,37.81,123.0,4569.0,2025-11-19,186.4,133.01,120.84,False,False,5709.31,6767.990000000001,100.0,0.0,829.0
277071.0,250603,"Frisco Steel 8-Panel Configurable Dog Gate and Playpen, 30-in, Black",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.120527063873638,506.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,250603,True,9860.0,34.30,45.01,123.0,1838.0,2025-12-31,287.46,219.06,40.84,False,False,6796.509999999999,8056.79,100.0,0.0,506.0
277071.0,250604,"Frisco Steel 8-Panel Configurable Dog Gate and Playpen, 30-in, Grey",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.120526022524586,400.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,250604,True,2720.0,9.91,19.17,123.0,1453.0,2025-11-19,274.47,141.89,75.8,False,False,2894.67,3431.4300000000003,100.0,0.0,400.0
137152.0,109784,"Frisco Heavy Duty Fold & Carry Single Door Collapsible Wire Dog Crate, X-Large",B000164,PM&J LLC,JADESCHACK,250.0,1,0.107391082605921,707.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,109784,True,651.0,11.16,15.93,152.0,1092.0,2026-01-14,58.33,40.87,68.55,True,True,2867.4,3313.44,707.0,1570.44,0.0
